Company,Group,Prev Close (Rs),Current Price (Rs),% Change
Schneider Electric,A,182.75,190.00,+ 3.97
Evans Electric,M,129.85,135.00,+ 3.97
Patspin India,X,13.11,13.63,+ 3.97
DCM Nouvelle,B,152.70,158.75,+ 3.96
Sambandam Spinni,X,138.00,143.45,+ 3.95
Exxaro Tiles,B,125.50,130.45,+ 3.94
Stylam Industries,B,"1,396.65","1,451.50",+ 3.93
Vikas Proppant & Gra,Z,0.51,0.53,+ 3.92
Future Lifestyle,Z,5.36,5.57,+ 3.92
Gujarat Narmada Vall,A,599.45,622.90,+ 3.91
Ind Bank Housing,B,27.86,28.95,+ 3.91
Kohinoor Foods Ltd.,B,39.74,41.28,+ 3.88
Ambition Mica,B,5.41,5.62,+ 3.88
Ashok Alco-Chem,X,90.49,94.00,+ 3.88
Shriram Properties,B,64.01,66.49,+ 3.87
Alps Industries,B,1.81,1.88,+ 3.87
OnMobile Global Ltd.,A,68.67,71.33,+ 3.87
Mohit Paper Mill,XT,18.63,19.35,+ 3.86
Scan Steels,X,31.20,32.40,+ 3.85
Niraj Cement Structu,B,28.55,29.65,+ 3.85
National Plastic Tec,X,112.15,116.45,+ 3.83
Bright Brothers,X,154.10,160.00,+ 3.83
SJS Enterprises,B,459.05,476.65,+ 3.83
Jeevan Scientific,X,52.88,54.90,+ 3.82
Kaynes Technology In,B,974.65,"1,011.80",+ 3.81
Super Sales India,X,818.80,850.00,+ 3.81
GTN Textiles,X,11.60,12.04,+ 3.79
Emami Paper Mill,B,124.40,129.10,+ 3.78
SGN Telecoms Ltd.,XT,0.53,0.55,+ 3.77
Kalyani Forge,T,249.40,258.80,+ 3.77
ResGen,M,48.58,50.40,+ 3.75
Rossell India,B,260.15,269.90,+ 3.75
Gokak Textiles,X,26.15,27.13,+ 3.75
Envair Electrodyne,X,75.19,78.00,+ 3.74
Jyoti Resins & A,B,"1,529.70","1,586.70",+ 3.73
Beekay Niryat,X,57.36,59.50,+ 3.73
Jainex Aamcol,XT,125.15,129.80,+ 3.72
Suratwwala Business,B,193.95,201.15,+ 3.71
Birla Tyres,T,4.58,4.75,+ 3.71
Bacil Pharma,XT,5.40,5.60,+ 3.70
B2B Soft.Tech.Ltd.,XT,27.00,28.00,+ 3.70
GEE Ltd.,X,71.91,74.56,+ 3.69
Tejnaksh Healthcare,B,72.67,75.35,+ 3.69
Pan India Corporatio,XT,1.90,1.97,+ 3.68
Orient Tradelink,X,10.60,10.99,+ 3.68
Mafatlal Ind,X,53.58,55.55,+ 3.68
Super Crop Safe,X,5.17,5.36,+ 3.68
Relaxo Footwears,A,868.25,900.00,+ 3.66
Regency Ceramics,T,24.65,25.55,+ 3.65
Kisan Mouldings,X,9.04,9.37,+ 3.65
Kirloskar Ferrou,A,440.00,456.05,+ 3.65
Silver Oak Commerci.,Z,2.75,2.85,+ 3.64
Octal Credit Capital,X,17.84,18.49,+ 3.64
Campus Activewear,B,363.60,376.80,+ 3.63
Greenlam Industries,B,304.85,315.90,+ 3.62
Guj. Petrosynthe,XT,34.45,35.69,+ 3.60
Oriental Hotels,B,93.34,96.70,+ 3.60
Panth Infinity,X,8.07,8.36,+ 3.59
Banas Finance Lt,X,13.64,14.13,+ 3.59
Jai Balaji Industrie,B,76.21,78.94,+ 3.58
Manomay Tex India,B,141.20,146.25,+ 3.58
Dish TV India Ltd.,A,15.69,16.25,+ 3.57
Goldline Intl.,Z,0.56,0.58,+ 3.57
Bal Pharma Ltd,B,82.10,85.03,+ 3.57
Mold-Tek Technologi.,B,300.80,311.50,+ 3.56
Wardwizard Innovatio,A,49.53,51.29,+ 3.55
Albert David Ltd,B,572.10,592.35,+ 3.54
Odyssey Technolo,X,70.84,73.35,+ 3.54
Medinova Diagnostic,XT,23.28,24.10,+ 3.52
Kavveri Telecom Prod,B,5.15,5.33,+ 3.50
Anuroop Packaging Lt,B,30.40,31.46,+ 3.49
Computer Point,X,2.58,2.67,+ 3.49
Guj. Craft Indus,X,76.82,79.49,+ 3.48
Vani Commercials,X,11.50,11.90,+ 3.48
Econo Trade (India),X,8.08,8.36,+ 3.47
CG Power and Indust,A,315.75,326.70,+ 3.47
K P Energy Ltd.,B,181.70,188.00,+ 3.47
Phoenix Intl.,XT,21.70,22.45,+ 3.46
Virtual Global Edu,X,0.87,0.90,+ 3.45
