Company,Group,Prev Close (Rs),Current Price (Rs),% Change
Radiant Cash Manage,B,92.90,93.40,+ 0.54
JM Financial Ltd.,A,64.80,65.15,+ 0.54
Amrutanjan Health Ca,B,600.55,603.80,+ 0.54
Abhinav Leasing,X,1.86,1.87,+ 0.54
Ducon Infratech,B,7.35,7.39,+ 0.54
Mangalam Cement,B,288.10,289.65,+ 0.54
Savera Industries,X,61.00,61.33,+ 0.54
Reliance Chemote,B,176.05,177.00,+ 0.54
Firstsource Solution,A,130.00,130.70,+ 0.54
Sun TV Network Ltd.,A,434.35,436.70,+ 0.54
Cybertech System,B,123.55,124.20,+ 0.53
National Fittings,X,94.99,95.49,+ 0.53
Aarey Drugs & Ph,B,28.30,28.45,+ 0.53
KCL Infra Projects,X,1.88,1.89,+ 0.53
Transpek Indus.,X,"1,836.25","1,846.00",+ 0.53
BLS Infotech,X,1.89,1.90,+ 0.53
Titan Securities,X,17.06,17.15,+ 0.53
Vandana Knitwear,XT,1.90,1.91,+ 0.53
NCL Industries,B,187.30,188.30,+ 0.53
Exide Inds.,A,188.15,189.15,+ 0.53
Authum Investment,B,215.25,216.40,+ 0.53
H S India L,X,11.34,11.40,+ 0.53
Ion Exchange (India),A,"3,834.80","3,855.00",+ 0.53
Alfavision Over,X,13.27,13.34,+ 0.53
Century Enka,B,397.45,399.50,+ 0.52
Arvind Ltd.,A,106.45,107.00,+ 0.52
GeeCee Ventures,B,154.05,154.85,+ 0.52
Indian Bank,A,286.70,288.20,+ 0.52
Uttam Sugar Mills,B,278.50,279.95,+ 0.52
Shankar Lal Rampal,B,124.05,124.70,+ 0.52
Force Motors,B,"1,334.95","1,341.85",+ 0.52
Airan Ltd.,B,15.46,15.54,+ 0.52
D B Realty Ltd.,A,81.08,81.50,+ 0.52
Sunrise Efficient Ma,M,254.50,255.80,+ 0.51
Tide Water Oil,B,865.25,869.70,+ 0.51
Restile Ceramics,X,3.92,3.94,+ 0.51
J Kumar Infraproject,B,266.75,268.10,+ 0.51
Cinevista L,B,11.68,11.74,+ 0.51
Chalet Hotels L,A,400.95,403.00,+ 0.51
Century Textiles,A,777.10,781.05,+ 0.51
Aastamangalam Financ,X,29.70,29.85,+ 0.51
Macrotech Developers,A,977.40,982.40,+ 0.51
Polymac Thermoformer,M,33.58,33.75,+ 0.51
Hi-Tech Pipes Ltd.,B,72.88,73.25,+ 0.51
Nitin Spinners,B,251.75,253.00,+ 0.50
Balkrishna Ind.,A,"2,200.10","2,211.00",+ 0.50
LIC,A,557.75,560.55,+ 0.50
Ratnabhumi Developer,T,130.00,130.65,+ 0.50
Roto Pumps Ltd,B,612.30,615.35,+ 0.50
Eldeco Housing &,B,594.55,597.50,+ 0.50
NIIT Ltd.,A,369.85,371.70,+ 0.50
Indsil Hydro Power a,X,38.71,38.90,+ 0.49
Indian Energy Exchan,A,161.70,162.50,+ 0.49
Modern Dairies,X,24.32,24.44,+ 0.49
BAG Films & Media,B,4.07,4.09,+ 0.49
GSB Finance Lt,X,10.50,10.55,+ 0.48
Bajaj Holdings & Inv,A,"6,899.20","6,932.00",+ 0.48
Earum Pharmaceutical,B,2.14,2.15,+ 0.47
Dolfin Rubbers,B,127.35,127.95,+ 0.47
Shree Rama Newsprint,B,13.09,13.15,+ 0.46
Karnataka Bank,A,131.30,131.90,+ 0.46
Poddar Housing,B,109.50,110.00,+ 0.46
Aarvee Denims an,B,21.54,21.64,+ 0.46
A F Enterprises,X,15.18,15.25,+ 0.46
SG Finserve,XT,525.25,527.65,+ 0.46
Mallcom (India) L,B,911.70,915.90,+ 0.46
Craftsman Automation,A,"3,388.35","3,404.00",+ 0.46
Bharat Electroni,A,108.10,108.60,+ 0.46
Dyna Vision,XT,162.25,163.00,+ 0.46
Cheviot Co Ltd,B,"1,120.90","1,125.90",+ 0.45
SML Isuzu Ltd.,B,932.40,936.55,+ 0.45
Titan Company,A,"2,744.55","2,757.00",+ 0.45
Bridge Securitie,X,6.72,6.75,+ 0.45
Asit C Mehta Financi,X,157.00,157.70,+ 0.45
Kalyani Steel,B,336.85,338.35,+ 0.45
Jindal Poly Investme,B,522.55,524.90,+ 0.45
Lyka Labs,B,99.55,100.00,+ 0.45
Bajaj Finance L,A,"6,631.20","6,660.25",+ 0.44
Dwarikesh Sugar,A,92.79,93.20,+ 0.44
Reliance Capital,T,9.10,9.14,+ 0.44
ISGEC Heavy Eng,A,502.85,505.05,+ 0.44
Blue Dart Expres,A,"5,864.35","5,890.10",+ 0.44
Genus Power Infrastr,A,86.93,87.30,+ 0.43
Lumax Auto Technolog,B,301.70,303.00,+ 0.43
Lincoln Pharmace,B,391.85,393.55,+ 0.43
Xchanging Solutions,B,60.00,60.26,+ 0.43
Tata Motors Ltd.,A,509.45,511.65,+ 0.43
RBL Bank,A,150.35,151.00,+ 0.43
Saurashtra Cemen,X,61.84,62.10,+ 0.42
Tantia Constructions,Z,9.45,9.49,+ 0.42
Railtel Corporation,A,121.00,121.50,+ 0.41
Vasundhara Rasayans,X,158.30,158.95,+ 0.41
Dhabriya Polywood,X,160.00,160.65,+ 0.41
Fortis Malar Hospita,X,48.30,48.50,+ 0.41
Sadhna Broadcast,X,5.01,5.03,+ 0.40
Confidence Futurist,X,99.60,100.00,+ 0.40
Archidply Industries,B,69.42,69.70,+ 0.40
Indian Metal & F,B,277.80,278.90,+ 0.40
Route Mobile,A,"1,285.55","1,290.75",+ 0.40
APM Industries,X,52.41,52.62,+ 0.40
Uma Exports,B,42.48,42.65,+ 0.40
Jindal Poly Films,A,679.25,681.95,+ 0.40
Mas Financial Servic,A,726.25,729.15,+ 0.40
Rama Steel Tubes,B,31.01,31.13,+ 0.39
AK Spintex L,X,83.72,84.05,+ 0.39
Aryaman Financia,X,129.30,129.80,+ 0.39
Weizmann,B,101.50,101.90,+ 0.39
Katare Spg. Mill,X,259.00,260.00,+ 0.39
SNL Bearings Ltd.,X,280.15,281.25,+ 0.39
Mastek Li,A,"1,729.30","1,736.00",+ 0.39
Vama Industries Ltd.,X,5.09,5.11,+ 0.39
Astra Microwave,A,319.95,321.15,+ 0.38
Vardhman Textiles Lt,A,324.75,326.00,+ 0.38
RTCL Ltd.,X,15.89,15.95,+ 0.38
Resonance Spec.,X,87.39,87.72,+ 0.38
Restaurant Brands,A,105.95,106.35,+ 0.38
White Organic Agro,X,7.86,7.89,+ 0.38
Utique Enterprises,X,5.25,5.27,+ 0.38
Happiest Minds Tech,A,846.75,849.95,+ 0.38
Eighty Jewellers,M,62.02,62.25,+ 0.37
Shree Pushkar Chemic,B,174.10,174.75,+ 0.37
Rainbow Foundati,X,10.86,10.90,+ 0.37
Sharika Enterprises,B,5.39,5.41,+ 0.37
Indo Amines Limi,B,89.67,90.00,+ 0.37
Siyaram Silk,A,510.65,512.55,+ 0.37
Power Grid Corpo,A,247.70,248.60,+ 0.36
CSB Bank,A,289.45,290.50,+ 0.36
Dhanuka Agritech Ltd,B,646.05,648.40,+ 0.36
Ravalgaon Sugar,X,"3,588.00","3,601.05",+ 0.36
Taj GVK Hotels & Res,B,227.25,228.05,+ 0.35
Aarti Industries,A,507.10,508.85,+ 0.35
Tayo Rolls Ltd,XT,73.79,74.05,+ 0.35
Indl.&Prud.Invst,X,"1,993.00","2,000.00",+ 0.35
Chennai Ferrous Indu,X,141.85,142.35,+ 0.35
BF Investment Ltd.,B,385.15,386.50,+ 0.35
Aditya Birla Fashion,A,198.90,199.60,+ 0.35
Elixir Capital,X,39.85,39.99,+ 0.35
Chennai Petro.,A,306.10,307.15,+ 0.34
JK Paper Ltd.,A,378.25,379.55,+ 0.34
ICICI Bank,A,936.20,939.40,+ 0.34
MphasiS Ltd.,A,"1,865.70","1,872.05",+ 0.34
IRCTC,A,624.20,626.30,+ 0.34
Coral Newsprints,XT,14.95,15.00,+ 0.33
Abans Holdings,B,254.70,255.55,+ 0.33
Panama Petrochem,B,300.25,301.25,+ 0.33
SBI,A,572.05,573.95,+ 0.33
Wipro,A,383.65,384.90,+ 0.33
Beryl Drugs Ltd.,X,15.25,15.30,+ 0.33
Sansera Engineering,A,741.55,744.00,+ 0.33
IZMO,B,135.05,135.50,+ 0.33
Benares Hotels,X,"3,727.55","3,740.00",+ 0.33
AVT Natural Prod,B,95.09,95.40,+ 0.33
NMDC Steel,B,37.14,37.26,+ 0.32
Cressanda Solutions,B,28.28,28.37,+ 0.32
Pacific Industri,X,124.30,124.70,+ 0.32
TCI Express,A,"1,505.20","1,510.00",+ 0.32
Grasim Inds.,A,"1,774.30","1,780.00",+ 0.32
Jet Airways,Z,57.42,57.60,+ 0.31
Esab India,A,"3,606.90","3,618.00",+ 0.31
Tera Software,B,38.40,38.52,+ 0.31
Shriram Finance,A,"1,353.85","1,358.00",+ 0.31
IDFC L,A,89.52,89.80,+ 0.31
Shalimar Paints,B,144.80,145.25,+ 0.31
Talbros Engineering,X,538.35,540.00,+ 0.31
Tips Industries,B,166.00,166.50,+ 0.30
TRF Ltd,B,167.00,167.50,+ 0.30
Kirloskar Pneumatic,A,577.70,579.45,+ 0.30
VIP Indus.,A,633.10,635.00,+ 0.30
NCC,A,116.65,117.00,+ 0.30
Maithan Alloys Ltd.,B,950.35,953.20,+ 0.30
Gandhi Special,B,510.20,511.75,+ 0.30
Sasken Technologies,B,826.80,829.25,+ 0.30
Bajaj HindusthanSuga,A,13.75,13.79,+ 0.29
Suryaamba Spinning M,X,207.60,208.20,+ 0.29
Sanghi Industrie,B,73.19,73.40,+ 0.29
Oil India Ltd.,A,259.20,259.95,+ 0.29
Indo Borax,B,119.50,119.85,+ 0.29
Akshar Spintex,T,69.10,69.30,+ 0.29
APL Apollo Tubes,A,"1,182.10","1,185.50",+ 0.29
Starteck Finance,B,119.45,119.80,+ 0.29
RS Software (India),B,34.59,34.69,+ 0.29
Balmer Lawrie Invest,B,388.80,389.90,+ 0.28
GRM Overseas,A,198.90,199.45,+ 0.28
Nitta Gelatin India,X,830.15,832.50,+ 0.28
SEPC Ltd,B,10.66,10.69,+ 0.28
VST Industries,A,"3,300.00","3,309.00",+ 0.27
Ugar Sugar Works,B,111.10,111.40,+ 0.27
Keystone Realtors,B,452.35,453.55,+ 0.27
Tilak Ventures L,X,3.68,3.69,+ 0.27
ITD Cementation Indi,B,128.75,129.10,+ 0.27
Mahindra CIE Auto,A,423.25,424.40,+ 0.27
SRG Housing Finance,X,184.65,185.15,+ 0.27
Elpro Internl.,B,63.84,64.01,+ 0.27
DRC Systems India,B,37.60,37.70,+ 0.27
Mahindra EPC Irrigat,B,97.08,97.34,+ 0.27
Mukta Arts Ltd.,B,53.95,54.09,+ 0.26
NGL Fine-Chem Li,B,"1,509.00","1,512.95",+ 0.26
ICICI Lombard Gen.,A,"1,108.05","1,110.95",+ 0.26
New Light Apparels,XT,19.00,19.05,+ 0.26
Munjal Auto Industr.,B,43.95,44.06,+ 0.25
Omkar Speciality Che,Z,7.88,7.90,+ 0.25
PNB Gilts Ltd.,B,58.88,59.03,+ 0.25
Rudra Global Infra P,X,77.31,77.50,+ 0.25
Hatsun Agro Prod,A,879.40,881.60,+ 0.25
KIFS Financial Serv,X,98.60,98.85,+ 0.25
Solitaire Machin,X,40.46,40.56,+ 0.25
Mangalore Chem.,B,98.90,99.15,+ 0.25
Avanti Feeds,A,367.10,368.00,+ 0.25
Synthiko Foils,XT,179.95,180.40,+ 0.25
India Motor Part,B,726.15,727.95,+ 0.25
Yarn Syndicate,X,36.70,36.79,+ 0.25
Prozone Intu Propert,B,23.73,23.79,+ 0.25
K Z Leasing & Financ,X,16.96,17.00,+ 0.24
Shri Bajrang Allianc,X,147.60,147.95,+ 0.24
Sterling and Wilson,A,295.20,295.90,+ 0.24
Mahi. & Mahi,A,"1,249.00","1,251.95",+ 0.24
Valson Ind. Ltd.,X,20.45,20.50,+ 0.24
Esha Media Research,XT,4.09,4.10,+ 0.24
Balmer Lawrie &,B,124.00,124.30,+ 0.24
Accelya Solutions In,B,"1,275.90","1,278.95",+ 0.24
Chartered Logistics,X,4.15,4.16,+ 0.24
Shree Global Tra,X,8.38,8.40,+ 0.24
Steel Authority,A,83.93,84.12,+ 0.23
Essar Securities,X,4.27,4.28,+ 0.23
GAIL (India),A,109.00,109.25,+ 0.23
Man Industries I,B,108.53,108.78,+ 0.23
Indo Count Inds.,A,151.20,151.55,+ 0.23
Jubilant Foodworks L,A,469.20,470.30,+ 0.23
Prakash Steelage Ltd,B,4.49,4.50,+ 0.22
Lakshmi Precn.Sc,Z,4.50,4.51,+ 0.22
Bambino Agro Ind,X,310.35,311.00,+ 0.21
Simbhaoli Sugars,B,23.86,23.91,+ 0.21
Venky's (India) Ltd.,A,"1,600.60","1,604.00",+ 0.21
UTI AMC,A,653.60,655.00,+ 0.21
Mid India Indust,XT,10.13,10.15,+ 0.20
Unichem Labs,B,377.10,377.85,+ 0.20
Telesys Info-Infra,X,9.83,9.85,+ 0.20
Simplex Infrastructu,B,34.23,34.30,+ 0.20
V B Industries,X,4.90,4.91,+ 0.20
Ind Renewable Energy,X,10.00,10.02,+ 0.20
Carysil L,A,614.75,616.00,+ 0.20
Refnol Resins &,X,82.74,82.90,+ 0.19
Asahi Songwon Colors,B,212.60,213.00,+ 0.19
Arvind SmartSpaces,B,312.45,313.05,+ 0.19
Bharat Forge,A,777.00,778.40,+ 0.18
Shalby,B,138.25,138.50,+ 0.18
Ludlow Jute & Specia,X,82.44,82.59,+ 0.18
Grindwell Norton,A,"1,899.50","1,903.00",+ 0.18
Bombay Oxygen Invest,X,"10,964.00","10,984.00",+ 0.18
Bank of India,A,78.06,78.19,+ 0.17
Titan Biotech Ltd.,X,237.95,238.35,+ 0.17
Gloster L,X,720.75,722.00,+ 0.17
Duropack Ltd,XT,114.80,115.00,+ 0.17
Selan Exploratio,B,271.95,272.40,+ 0.17
Motor & General,T,28.75,28.80,+ 0.17
Piramal Enterprises,A,739.00,740.25,+ 0.17
Global Vectra Helico,B,58.75,58.85,+ 0.17
Landmark Property De,B,5.98,5.99,+ 0.17
Umang Dairies Ltd.,B,59.18,59.28,+ 0.17
Torrent Power Ltd.,A,538.60,539.50,+ 0.17
Ddev Plastiks Indust,X,114.55,114.75,+ 0.17
Foods & Inns,B,143.55,143.80,+ 0.17
Kotak Mahindra Bank,A,"1,959.95","1,963.00",+ 0.16
Fino Payments Bank,B,213.35,213.70,+ 0.16
Hazoor Multi Project,X,117.81,118.00,+ 0.16
Rallis India,A,188.95,189.25,+ 0.16
Linde India,A,"4,000.90","4,007.20",+ 0.16
Securekloud Tech,B,32.25,32.30,+ 0.16
Hester Biosciences L,B,"1,788.10","1,791.00",+ 0.16
TARC,B,50.03,50.11,+ 0.16
Globus Power Gen,X,12.76,12.78,+ 0.16
Vijaya Diagnostic,A,369.40,370.00,+ 0.16
NTC Industries,X,75.62,75.74,+ 0.16
Spandana Sphoorty Fi,A,650.45,651.50,+ 0.16
Chandra Prabhu I,X,25.16,25.20,+ 0.16
OK Play India Ltd.,XT,96.85,97.00,+ 0.15
Bhagiradha Chemi,B,"1,399.35","1,401.40",+ 0.15
Piccadily Agro I,X,46.14,46.21,+ 0.15
Ishan Dyes & Che,X,59.77,59.86,+ 0.15
HDFC Bank,A,"1,652.00","1,654.50",+ 0.15
Canara Bank,A,301.00,301.45,+ 0.15
PTC Industries,A,"2,342.50","2,345.95",+ 0.15
Alicon Castalloy,B,766.95,768.00,+ 0.14
Rajnish Wellness,B,13.97,13.99,+ 0.14
Anjani Finance Ltd.,X,7.24,7.25,+ 0.14
Zeal Aqua,B,6.98,6.99,+ 0.14
Aries Agro Ltd.,B,177.75,178.00,+ 0.14
Cerebra Integrat,B,7.26,7.27,+ 0.14
Maha. Seamless,A,425.30,425.90,+ 0.14
Mirc Electronics,B,13.81,13.83,+ 0.14
Raw Edge Industrial,B,41.94,42.00,+ 0.14
Ashok Leyland,A,148.80,149.00,+ 0.13
NHPC,A,44.46,44.52,+ 0.13
Kwality Pharmaceutic,B,319.60,320.00,+ 0.13
eClerx Services,A,"1,345.00","1,346.80",+ 0.13
Nippon Life AMC,A,236.15,236.45,+ 0.13
KPIT Technologies,A,896.75,897.95,+ 0.13
Trident Ltd.,A,32.06,32.10,+ 0.12
Niks Technology,MS,205.25,205.50,+ 0.12
Metroglobal,X,88.04,88.15,+ 0.12
JHS Svendgaard Labor,B,16.67,16.69,+ 0.12
MRF Ltd,A,"97,279.30","97,399.95",+ 0.12
Sri Nachammai Co,X,33.36,33.40,+ 0.12
Sunil Agro Foods,X,165.35,165.55,+ 0.12
Deepak Fertilisers,A,594.05,594.70,+ 0.11
Palred Technologies,B,133.75,133.90,+ 0.11
REC,A,131.50,131.65,+ 0.11
Pace E-Commerce Vent,M,18.57,18.59,+ 0.11
Morgan Ventures Ltd.,X,37.95,37.99,+ 0.11
Centum Electronics L,B,788.55,789.40,+ 0.11
MSP Steel & Power Lt,B,8.71,8.72,+ 0.11
Surana Telecom and P,B,9.16,9.17,+ 0.11
Saint-Gobain Sekurit,X,91.96,92.06,+ 0.11
Tata Coffee,A,229.65,229.90,+ 0.11
Veeram Securities,B,9.17,9.18,+ 0.11
Hemisphere Propertie,A,93.14,93.24,+ 0.11
Gufic BioSciences Lt,B,210.40,210.60,+ 0.10
Indian Acrylics,X,10.11,10.12,+ 0.10
Tata Communications,A,"1,276.75","1,278.00",+ 0.10
Sun Pharma Advanced,A,196.55,196.75,+ 0.10
Rites Ltd.,A,403.80,404.20,+ 0.10
Duncan Engineering,X,478.00,478.50,+ 0.10
VRL Logistics Ltd.,A,639.50,640.10,+ 0.09
ONGC,A,166.95,167.10,+ 0.09
Visa Steel,T,11.10,11.11,+ 0.09
Murudeshwar Cer.,B,38.02,38.05,+ 0.08
Crompton Greaves Con,A,256.80,257.00,+ 0.08
Shiva Texyarn Ltd.,B,122.90,123.00,+ 0.08
Diana Tea Compan,X,23.68,23.70,+ 0.08
Active Clothing Co,T,39.97,40.00,+ 0.08
Goa Carbons,B,510.10,510.50,+ 0.08
Maestros Electronics,X,45.17,45.20,+ 0.07
Shree Renuka Sugars,A,44.37,44.40,+ 0.07
Galaxy Bearings,XT,"1,137.65","1,138.50",+ 0.07
Sahyadri Industries,B,364.75,365.00,+ 0.07
National Alumini,A,82.89,82.95,+ 0.07
Persistent Systems,A,"4,670.70","4,673.80",+ 0.07
Alok Industries Ltd.,B,13.56,13.57,+ 0.07
Kilitch Drugs(I),B,210.85,211.00,+ 0.07
Samkrg Pistons & Rin,X,140.40,140.50,+ 0.07
Guj. Containers,P,152.00,152.10,+ 0.07
Home First Finance,A,714.55,715.00,+ 0.06
SAL Steel,B,17.70,17.71,+ 0.06
Virinchi L,X,31.60,31.62,+ 0.06
Voith Paper Fabrics,X,"1,089.40","1,090.00",+ 0.06
Plastiblends Ind,B,172.90,173.00,+ 0.06
Shilpa Medicare L,A,257.75,257.90,+ 0.06
Bharat Bijlee,B,"2,883.30","2,885.10",+ 0.06
Emmbi Industries,B,90.15,90.20,+ 0.06
Captain Polyplast L,X,19.94,19.95,+ 0.05
Meghmani Organics,A,83.96,84.00,+ 0.05
SPEL Semiconduct,X,41.82,41.84,+ 0.05
Centrum Capital,B,19.19,19.20,+ 0.05
Renaissance Global,B,88.46,88.50,+ 0.05
Nesco Ltd.,A,595.45,595.75,+ 0.05
Suditi Hosiery,X,18.99,19.00,+ 0.05
Lloyds Steels Ind.,A,21.13,21.14,+ 0.05
Aro Granite Indu,B,41.98,42.00,+ 0.05
Inox Wind Ltd.,B,112.85,112.90,+ 0.04
Elegant Marbles,X,118.85,118.90,+ 0.04
Punj. NationlBak,A,48.49,48.51,+ 0.04
Victoria Mills,X,"2,250.00","2,251.00",+ 0.04
Jagsonpal Pharma,B,334.85,335.00,+ 0.04
Dharni Capital Serv,M,23.01,23.02,+ 0.04
POCL Enterprises,X,132.95,133.00,+ 0.04
Bombay Burmah,A,964.60,965.00,+ 0.04
Coal India,A,236.50,236.60,+ 0.04
Kilburn Engg.,XT,116.70,116.75,+ 0.04
Prime Securities,B,115.00,115.05,+ 0.04
JITF Infralogistics,T,135.95,136.00,+ 0.04
Electrotherm (In,B,63.48,63.50,+ 0.03
Transcorp Inter,X,31.99,32.00,+ 0.03
M&M Fin.Services,A,285.85,285.95,+ 0.03
Nestle India,A,"22,060.55","22,066.10",+ 0.03
Hilton Metal Forging,T,143.95,144.00,+ 0.03
Sarthak Metals,B,189.85,189.90,+ 0.03
Indo Cotspin,XT,35.01,35.02,+ 0.03
Bank of Baroda,A,178.45,178.50,+ 0.03
BASF India Lt,A,"2,399.40","2,400.00",+ 0.03
Archit Organosys,X,74.57,74.59,+ 0.03
Ramkrishna Forgings,A,338.80,338.90,+ 0.03
Finolex Industries,A,184.85,184.90,+ 0.03
Intl. Combustion,X,527.35,527.50,+ 0.03
GNA Axles,B,768.50,768.70,+ 0.03
Bharat Petroleum,A,372.15,372.25,+ 0.03
Tarsons Products,A,557.45,557.55,+ 0.02
GlaxoSmithKline Phar,A,"1,283.00","1,283.30",+ 0.02
Vistar Amar,X,297.60,297.65,+ 0.02
Deep Polymers,B,95.40,95.42,+ 0.02
Axtel Industries,X,260.95,261.00,+ 0.02
Medicamen Biotec,B,685.85,686.00,+ 0.02
Union Bank of In,A,70.37,70.38,+ 0.01
Apollo Hospitals,A,"4,602.95","4,603.30",+ 0.01
Dhoot Industrial,X,72.49,72.50,+ 0.01
DCM Shriram In,B,72.02,72.03,+ 0.01
Rane Brake Lining Lt,B,714.95,715.00,+ 0.01
Maha Rashtra Ape,B,96.00,96.01,+ 0.01
